Algorithm: Kruskal's MST
MST Edges:
17 92 1
3 24 2
11 94 2
45 71 2
17 82 3
24 53 3
2 38 4
10 73 4
84 91 4
5 38 5
42 64 5
45 98 5
30 78 6
83 94 6
14 30 8
2 83 9
22 52 9
4 60 10
5 79 10
43 97 11
7 9 12
20 86 12
24 55 12
3 44 13
15 19 13
31 91 15
45 83 15
3 70 16
78 95 16
27 41 17
48 77 17
8 42 18
31 49 18
4 55 19
7 45 19
27 36 19
57 98 19
20 43 20
54 89 20
32 55 21
3 52 22
13 74 22
27 29 22
0 74 23
5 82 23
69 83 23
75 76 23
37 85 24
39 74 24
50 67 24
63 74 24
85 88 24
0 32 26
4 7 26
18 19 26
25 94 26
53 97 26
66 82 26
4 65 27
23 58 27
39 48 27
73 89 27
52 93 28
83 99 28
3 16 29
27 71 29
48 73 29
1 27 30
58 68 30
60 62 30
8 67 31
14 85 31
33 45 31
37 50 32
0 12 34
6 63 34
26 39 34
41 50 34
82 87 34
16 31 35
17 19 35
25 61 35
32 81 35
53 80 36
48 59 38
37 72 40
51 80 40
28 64 41
38 68 43
22 35 44
76 82 44
3 90 46
39 40 56
21 41 58
34 61 58
56 95 60
47 73 63
4 46 64
5 96 69
Total MST weight: 2450

Algorithm: Prim's MST
MST Edges:
0 74 23
74 13 22
74 39 24
74 63 24
0 32 26
32 55 21
55 24 12
24 3 2
24 53 3
3 44 13
3 70 16
55 4 19
4 60 10
3 52 22
52 22 9
4 7 26
7 9 12
7 45 19
45 71 2
45 98 5
45 83 15
83 94 6
94 11 2
83 2 9
2 38 4
38 5 5
5 79 10
98 57 19
5 82 23
82 17 3
17 92 1
83 69 23
53 97 26
97 43 11
43 20 20
20 86 12
82 66 26
94 25 26
4 65 27
39 48 27
48 77 17
52 93 28
83 99 28
3 16 29
48 73 29
73 10 4
73 89 27
89 54 20
71 27 29
27 41 17
27 36 19
27 29 22
27 1 30
60 62 30
45 33 31
0 12 34
39 26 34
41 50 34
50 67 24
67 8 31
8 42 18
42 64 5
50 37 32
37 85 24
85 88 24
85 14 31
14 30 8
30 78 6
78 95 16
63 6 34
82 87 34
16 31 35
31 91 15
91 84 4
31 49 18
17 19 35
19 15 13
19 18 26
25 61 35
32 81 35
53 80 36
48 59 38
37 72 40
80 51 40
64 28 41
38 68 43
68 58 30
58 23 27
22 35 44
82 76 44
76 75 23
3 90 46
39 40 56
41 21 58
61 34 58
95 56 60
73 47 63
4 46 64
5 96 69
Total MST weight: 2450
