Algorithm: Greedy Vertex Coloring
Vertex colors:
0 1
1 2
2 1
3 1
4 3
5 2
6 4
7 2
8 0
9 5
10 2
11 3
12 4
13 1
14 2
15 3
16 1
17 6
18 6
19 0
20 4
21 1
22 2
23 0
24 0
25 5
26 0
27 2
28 3
29 5
30 0
31 1
32 2
33 4
34 0
35 2
36 6
37 4
38 5
39 3
40 3
41 1
42 5
43 3
44 0
45 2
46 6
47 1
48 0
49 1
50 2
51 1
52 1
53 5
54 3
55 0
56 2
57 1
58 0
59 1
60 4
61 1
62 5
63 4
64 0
65 5
66 2
67 0
68 4
69 3
70 0
71 3
72 2
73 4
74 3
75 3
76 0
77 0
78 2
79 0
80 2
81 4
82 2
83 4
84 1
85 2
86 5
87 0
88 4
89 5
90 0
91 1
92 4
93 4
94 1
95 3
96 1
97 2
98 5
99 3
Colors used: 7
Correctness: Valid
Execution time: 0 ms
